n,mean_predicted,observed_rate
753581,3.200133110237025e-06,2.6539947265124783e-06
753581,1.175656383428601e-05,3.980992089768717e-06
753581,2.6921196621473055e-05,1.1942976269306153e-05
753580,3.854268064416065e-05,2.7866981607792138e-05
753581,5.067222409287729e-05,4.379091298745589e-05
753581,6.457356416330942e-05,5.042589980373709e-05
753580,8.118885810615065e-05,8.094694657501526e-05
753581,0.00010437997891601102,0.00011942976269306152
753581,0.0001502351627271242,0.00020435759394146083
753581,0.0011317912820580254,0.0004896620270415522
